,CountryName,Total Cases,Total Deaths,Total Recoveries
0,United States,31397113,567591,0
1,Brazil,13482543,353293,11880803
2,India,13358805,169275,12081443
3,France,5058680,98750,0
4,Russia,4649710,103263,4272165
5,United Kingdom,4369775,127087,0
6,Turkey,3849011,33939,3331411
7,Italy,3769813,114254,3122555
8,Spain,3347512,76328,0
9,Germany,3009541,78964,2671056
10,Poland,2586647,58481,2197782
11,Colombia,2536198,65889,2383785
12,Argentina,2532508,57779,2233086
13,Mexico,2280213,209338,1809921
14,Iran,2070141,64490,1710974
15,Ukraine,1861105,37301,1416215
16,Peru,1647694,54903,1566543
17,Czech Republic,1581184,27918,1466296
18,South Africa,1558458,53322,1483296
19,Indonesia,1571824,42656,1419796
20,Netherlands,1342447,16754,0
21,Chile,1068522,24213,998400
22,Canada,1052539,23287,958633
23,Romania,1008490,25248,910298
24,Belgium,925476,23473,0
25,Iraq,924946,14713,814853
26,Philippines,876225,15149,703625
27,Sweden,857401,13621,0
28,Israel,835811,6292,825515
29,Portugal,827494,16916,784618
30,Pakistan,725602,15501,634835
31,Hungary,725241,23708,429074
32,Bangladesh,691957,9822,581113
33,Jordan,665735,7773,596293
34,Serbia,645173,5773,0
35,Switzerland,623126,9820,317600
36,Austria,574755,9662,532539
37,Japan,506286,9400,465916
38,Morocco,501688,8891,488015
39,Lebanon,496846,6661,402172
40,United Arab Emirates,485675,1533,470175
41,Saudi Arabia,398435,6754,383321
42,Bulgaria,371993,14418,286258
43,Slovakia,371168,10630,0
44,Malaysia,362173,1333,345005
45,Panama,358611,6163,348231
46,Ecuador,346871,17293,298604
47,Belarus,336038,2354,326487
48,Greece,295480,8885,0
49,Croatia,292938,6333,274761
50,Georgia,288755,3883,277829
51,Azerbaijan,287144,3944,251760
52,Bolivia,282095,12451,231546
53,Nepal,280028,3040,274027
54,Tunisia,271861,9293,224907
55,Kazakhstan,271809,3236,234665
56,Palestine,268132,2860,232960
57,Dominican Republic,257186,3385,216020
58,Kuwait,247094,1407,231240
59,Moldova,241217,5388,222927
60,Ireland,240945,4785,0
61,Denmark,238306,2443,227244
62,Paraguay,235292,4827,193286
63,Ethiopia,228996,3174,170633
64,Lithuania,226783,3697,205965
65,Slovenia,226499,4119,0
66,Costa Rica,222544,3018,194760
67,Egypt,210489,12445,159499
68,Guatemala,203071,7016,185549
69,Armenia,202817,3735,181963
70,Honduras,195780,4804,75796
71,Qatar,190025,333,169635
72,Bosnia and Herzegovina,184698,7587,141602
73,Venezuela,174786,1759,156472
74,Oman,171549,1776,152784
75,Libya,167825,2823,152921
76,Nigeria,163793,2060,154107
77,Bahrain,156462,557,144917
78,Kenya,145670,2348,99095
79,Uruguay,144642,1462,110277
80,Myanmar,142587,3206,131856
81,North Macedonia,141844,4228,116780
82,Albania,128393,2317,97723
83,Algeria,118516,3130,82600
84,Estonia,114443,1037,95246
85,South Korea,110146,1770,100804
86,Latvia,107608,1986,99162
87,Norway,103621,684,54004
88,Puerto Rico,103188,2155,0
89,Kosovo,97996,1988,82064
90,Sri Lanka,95131,598,91631
91,Montenegro,94269,1373,88504
92,Ghana,91260,754,89092
93,China,90400,4636,85481
94,Kyrgyzstan,90372,1528,86028
95,Zambia,90029,1226,88018
96,Cuba,86531,459,80805
97,Uzbekistan,85114,634,82943
98,Finland,82278,868,31000
99,Mozambique,68758,791,58904
100,El Salvador,66489,2054,62958
101,Luxembourg,63650,768,58874
102,Cameroon,61731,919,56926
103,Singapore,60653,30,60335
104,Afghanistan,57242,2529,51989
105,Cyprus,51505,272,0
106,Namibia,45527,570,43640
107,Ivory Coast,45145,261,44473
108,Jamaica,42500,672,18896
109,Uganda,41140,337,40685
110,Senegal,39307,1074,38031
111,Botswana,38793,616,36745
112,Zimbabwe,37288,1538,34873
113,Malawi,33827,1128,31479
114,Thailand,33610,97,28248
115,Sudan,30111,2063,24214
116,Malta,29661,402,28706
117,Australia,29405,909,0
118,DR Congo,26737,712,22432
119,Maldives,25524,66,22424
120,Donetsk PR,25517,2092,17280
121,Madagascar,24968,444,22415
122,Angola,23457,553,22058
123,Rwanda,23426,315,21243
124,Guinea,20949,142,18563
125,Gabon,20636,127,17456
126,Cape Verde,19005,182,17197
127,Syria,18909,1265,12731
128,French Polynesia,18652,141,4842
129,Mauritania,17756,448,16989
130,Eswatini,17376,669,16645
131,Mongolia,15718,25,9516
132,Tajikistan,13308,90,13218
133,Abkhazia,12931,203,12390
134,Haiti,12803,252,10745
135,Andorra,12545,120,11825
136,Belize,12487,318,12120
137,Burkina Faso,12450,145,11998
138,Somalia,12271,605,4973
139,Togo,12006,116,9274
140,Hong Kong,11582,207,11206
141,Curaçao,11355,66,6521
142,Mali,11254,402,6800
143,Guyana,11004,252,9688
144,Lesotho,10707,315,4674
145,Congo,10084,137,7514
146,South Sudan,10048,108,9454
147,Aruba,10050,92,9411
148,Djibouti,9876,96,7985
149,Bahamas,9364,189,8837
150,Suriname,9302,182,8669
151,Trinidad and Tobago,8404,146,7740
152,Papua New Guinea,8342,69,846
153,Guam,7751,133,6707
154,Benin,7515,93,5552
155,Equatorial Guinea,7219,106,6799
156,Nicaragua,6727,179,0
157,Iceland,6267,29,6140
158,The Gambia,5564,166,5111
159,Central African Republic,5465,74,1924
160,San Marino,4962,86,4510
161,Yemen,4881,955,1772
162,Niger,4740,172,4250
163,Chad,4636,167,4286
164,Cambodia,4515,30,2212
165,Seychelles,4395,24,4091
166,Saint Lucia,4348,64,4174
167,Gibraltar,4277,94,4180
168,Sierra Leone,4005,79,2831
169,Northern Cyprus,3913,24,3509
170,Barbados,3730,44,3607
171,Guinea-Bissau,3678,66,2426
172,Comoros,3601,146,3423
173,Jersey,3230,69,3167
174,Luhansk PR,3215,281,2700
175,Eritrea,3192,9,2962
176,Burundi,3154,6,773
177,South Ossetia,3081,60,2591
178,U.S. Virgin Islands,2945,26,2857
179,Liechtenstein,2738,56,2606
180,Vietnam,2696,35,2429
181,Artsakh,2395,31,337
182,Turks and Caicos Islands,2357,17,2280
183,São Tomé and Príncipe,2266,35,2184
184,New Zealand,2227,26,2075
185,Sint Maarten,2185,27,2118
186,Liberia,2042,85,1899
187,Monaco,1981,26,1754
188,Somaliland,1808,66,1431
189,Saint Vincent and The Grenadines,1792,10,1665
190,Bermuda,1773,14,888
191,Isle of Man,1574,29,1445
192,Bonaire,1493,14,1370
193,Antigua and Barbuda,1198,30,938
194,Mauritius,1192,12,775
195,USS Theodore Roosevelt,1102,1,751
196,Charles de Gaulle,1081,0,0
197,Taiwan,1058,11,1026
198,East Timor,1046,1,521
199,Bhutan,910,1,875
200,Guernsey,821,14,807
201,Diamond Princess,712,14,653
202,Faroe Islands,661,1,660
203,Cayman Islands,516,2,487
204,Wallis and Futuna,441,5,11
205,Brunei,219,3,206
206,Dominica,165,0,161
207,Northern Mariana Islands,160,2,32
208,British Virgin Islands,153,1,131
209,Costa Atlantica,148,0,148
210,Grenada,148,1,147
211,Greg Mortimer,128,1,0
212,New Caledonia,121,0,30
213,Fiji,67,2,64
214,Antarctica,58,0,0
215,Falkland Islands,54,0,54
216,Laos,49,0,47
217,Macau,48,0,46
218,Saint Kitts and Nevis,44,0,44
219,Greenland,31,0,31
220,Sahrawi Arab DR,31,3,27
221,Vatican City,29,0,27
222,Anguilla,25,0,22
223,Saint Pierre and Miquelon,24,0,12
224,Montserrat,20,1,18
225,Sint Eustatius,20,0,20
226,Solomon Islands,18,0,5
227,MS Zaandam,13,4,0
228,Coral Princess,12,3,0
229,SeaDream I,9,0,0
230,HNLMS Dolfijn,8,0,8
231,Saba,6,0,6
232,"Saint Helena, Ascension and Tristan da Cunha",5,0,5
233,Marshall Islands,4,0,4
234,American Samoa,4,0,3
235,Samoa,4,0,2
236,Vanuatu,3,0,1
237,Federated States of Micronesia,1,0,1
